,Disk (GB),Memory (GB),CPU (Core),Bandwidth (MB/s),Region,Latitude,Longitude
0,6584,74,20,1808,Alabama,33.37084259625253,88.26784223543507
1,5486,37,16,1808,Alabama,30.559335622932107,85.68281524499817
2,5031,37,16,1808,Alabama,31.613545342565846,86.49138477811853
3,4600,37,16,1808,Alabama,34.23340369784135,85.00259932987075
4,4505,37,16,1805,Alabama,32.501202924310356,88.3834747832986
5,4389,37,16,1714,Alabama,30.445955062808075,87.2678014418575
6,4034,37,16,1645,Alabama,31.99434262151267,87.73303474666483
7,4023,37,16,1446,Alabama,30.467241805762782,86.98972314214431
8,3943,37,13,1446,Alabama,32.415368083887905,87.89936375161996
9,3840,37,13,1446,Alabama,34.03142534024987,87.84840530024104
10,3822,37,13,1301,Alabama,31.092847945182225,86.4537622154515
11,3815,37,13,1083,Alabama,33.76298208049158,85.39622888280641
12,3657,29,13,1083,Alabama,34.850954359137845,86.24557753043548
13,3461,29,13,1083,Alabama,32.51528444657159,85.38561926523204
14,3413,29,13,1083,Alabama,30.245343928390934,87.57334095887111
15,3292,26,13,1083,Alabama,32.34052358995457,86.48043151643763
16,3176,23,13,1083,Alabama,33.86683949480795,86.8032862979776
17,3012,20,13,1083,Alabama,31.351020270483218,87.32941985458206
18,2949,20,13,1083,Alabama,34.295677784082606,85.7605919357387
19,2926,19,13,904,Alabama,31.528348385196253,85.96343548114349
20,2781,17,13,866,Alabama,30.849890064274472,87.66146344389428
21,2743,17,13,866,Alabama,31.487375561964633,86.86115131325721
22,2635,17,13,864,Alabama,34.85289423595891,85.13621951812651
23,2599,17,13,844,Alabama,32.61641538210317,86.53360666246859
24,2560,17,13,840,Alabama,33.45647141181543,88.13265418870172
25,2377,17,13,765,Alabama,34.24926394242335,86.77862584883249
26,2204,17,13,764,Alabama,31.023864506471128,86.47674503235828
27,2194,17,13,759,Alabama,34.95726039583923,87.96423669448797
28,2194,17,13,721,Alabama,32.76507126355284,87.42546339787249
29,2144,17,13,721,Alabama,33.40067327595114,86.7975228366158
30,2124,17,13,721,Alabama,30.69372277684429,86.79254737678967
31,2122,17,13,721,Alabama,31.492488357780328,87.40131924771853
32,2011,17,13,721,Alabama,30.33054607434408,87.25479494692888
33,1828,17,13,721,Alabama,33.4485859012279,85.26505174758216
34,1828,17,13,721,Alabama,33.50551669125017,86.3343653748946
35,1828,17,13,721,Alabama,34.45261127403187,85.26676771438093
36,1734,17,13,721,Alabama,30.57984427438981,87.49792739338271
37,1646,17,13,721,Alabama,32.89649007701553,85.08236044758041
38,1646,17,13,721,Alabama,31.667289803914848,86.45685078711782
39,1646,17,13,721,Alabama,33.42974105756426,85.62739401678662
40,1646,17,13,721,Alabama,32.84486614010999,87.94622164764819
41,1646,17,13,677,Alabama,32.72162621801912,86.80745591865166
42,1646,17,13,669,Alabama,30.41890442214721,86.86507700126025
43,1646,17,13,666,Alabama,33.84824576469085,88.17779430565975
44,1588,17,13,663,Alabama,34.690890746606975,86.40082506266054
45,1463,17,13,662,Alabama,30.221568697066225,86.82492807936325
46,1463,17,13,654,Alabama,33.750506463461704,87.07984004938551
47,1463,17,13,648,Alabama,30.496522103427075,85.83984671244825
48,1463,17,13,589,Alabama,33.01288571083957,87.86321064286618
49,1463,17,13,583,Alabama,34.60448557191337,88.34119595777014
50,1463,17,13,583,Alabama,31.2763975311278,88.12061936020802
51,1417,17,13,576,Alabama,30.594503820671974,88.41705837599933
52,1404,17,13,541,Alabama,31.553565869321353,86.25477757185332
53,1308,17,13,541,Alabama,30.6977637032501,85.72635194981225
54,1301,17,13,511,Alabama,34.72270031189017,88.12786036893556
55,1280,17,13,465,Alabama,31.0268920626204,85.55096478640274
56,1280,17,13,437,Alabama,31.390437684865695,84.88827427965188
57,1280,17,13,436,Alabama,34.353706461739144,87.58727470815307
58,1280,17,13,431,Alabama,34.46806656838666,85.19878355422085
59,1280,17,13,427,Alabama,31.637651703947363,84.9261040385991
60,1216,17,13,426,Alabama,34.86764491457893,87.72719406049829
61,1138,17,13,420,Alabama,30.851672172822234,88.35138625764958
62,1129,17,13,419,Alabama,31.45122305389038,87.38676773166203
63,1097,17,13,418,Alabama,33.67972588352976,85.60633398765364
64,1097,17,13,416,Alabama,33.54392799826777,87.33407427601945
65,1097,17,13,415,Alabama,30.9717281785202,86.4433348344038
66,1097,17,13,414,Alabama,31.613493400424613,85.84267977999907
67,1097,17,13,401,Alabama,31.218623516500816,85.77748291143709
68,1097,17,12,383,Alabama,30.373551053040718,86.17565300267209
69,1097,17,10,366,Alabama,34.755239163038894,87.3200238465632
70,1097,17,10,362,Alabama,33.087330093429344,86.44465481160611
71,1097,17,10,358,Alabama,33.879649576170365,86.03690486332
72,1097,17,10,358,Alabama,32.20209862474283,87.05059895716612
73,1097,17,10,358,Alabama,33.6782078548424,86.76026538963758
74,1097,17,10,358,Alabama,32.078993451653666,87.77414967547082
75,1097,17,10,358,Alabama,34.88443306643716,86.42006071859086
76,1097,17,10,358,Alabama,31.176411245721468,84.86048344163561
77,1016,17,10,358,Alabama,33.9865574810648,87.86196251908494
78,951,17,10,358,Alabama,32.06600874080881,86.6143375781478
79,944,17,10,352,Alabama,31.369100713243373,85.7867321701925
80,943,17,10,348,Alabama,34.56416834702982,85.41317333008075
81,914,17,10,342,Alabama,32.09965623271283,86.80833592249778
82,914,17,10,334,Alabama,31.522648067446543,88.27252449965304
83,914,17,10,332,Alabama,34.923961935546515,87.17872976379455
84,914,17,10,331,Alabama,30.624988626046875,87.31513407213576
85,914,17,10,331,Alabama,31.55751759740633,88.07413088131746
86,914,17,10,325,Alabama,31.675552430743153,85.27352827217607
87,914,17,10,320,Alabama,32.908059460846474,86.90182930837742
88,914,17,10,318,Alabama,32.18862915969858,87.73698722173911
89,914,14,10,311,Alabama,32.18130015206037,84.86581405493729
90,769,14,10,293,Alabama,33.736968481796154,86.20513051916302
91,731,14,10,285,Alabama,34.92226976863448,87.71701939838519
92,731,14,10,282,Alabama,34.90411508629802,88.09879790726433
93,731,14,10,279,Alabama,33.695577289343106,85.71077353500426
94,731,14,10,279,Alabama,31.148546506288195,85.50956928347864
95,731,14,10,276,Alabama,32.04572405200521,85.06680617913979
96,731,13,10,276,Alabama,30.87919800141777,88.10833683959764
97,731,11,10,274,Alabama,34.375567817064,86.19152318982158
98,731,11,10,271,Alabama,32.195807740421344,85.23738112351282
99,731,8,10,270,Alabama,34.02588725136266,87.5216834392491
100,731,8,10,268,Alabama,34.86437415708826,88.25758695790852
101,731,8,10,263,Alabama,33.697106895766325,86.31764116277633
102,731,8,10,261,Alabama,30.310850611502627,86.35856078126902
103,731,8,10,261,Alabama,34.162516420419436,88.29794872261897
104,731,8,10,256,Alabama,31.25452054928569,87.8934343714033
105,731,8,6,256,Alabama,30.685228609714542,85.92956967968416
106,731,8,6,254,Alabama,32.26181900174822,85.69887350868505
107,731,8,6,253,Alabama,32.64916254476205,85.27981590521907
108,731,8,6,252,Alabama,34.894322461223965,86.62025959564485
109,731,8,6,250,Alabama,32.24923220792887,87.7985969217887
110,731,8,6,248,Alabama,32.69622679148136,87.27490407525627
111,731,8,6,246,Alabama,31.1395870352737,85.11969481358936
112,731,8,6,245,Alabama,33.24638909275989,85.14823735060672
113,655,8,6,244,Alabama,30.467717679234763,86.737648417195
114,590,8,6,242,Alabama,34.23513646462405,87.49700567169808
115,548,8,6,241,Alabama,30.86484189411077,88.22892011701852
116,548,8,6,240,Alabama,31.532872092244506,86.03063532149676
117,548,8,6,238,Alabama,31.656787275046195,86.78849740985632
118,548,8,6,237,Alabama,32.232635705806125,85.45321654860342
119,548,8,6,237,Alabama,30.368703838194573,85.84078117754976
120,548,8,6,228,Alabama,33.78361050577943,87.57150473176364
121,548,8,6,225,Alabama,30.27251744234518,85.76287262868905
122,548,8,6,224,Alabama,32.4795932816677,86.5592053303202
123,548,8,6,223,Alabama,33.70268799718014,85.63303760938766
124,548,8,6,221,Alabama,30.530652844916574,87.02583293147171
125,548,8,6,221,Alabama,34.15371408005726,87.74999182471197
126,542,5,6,214,Alabama,34.48620632830175,85.5858621476167
127,533,5,6,213,Alabama,31.858880896256693,86.63259707946962
128,506,5,4,207,Alabama,34.25818161930557,86.82390826827563
129,490,5,4,207,Alabama,33.199815977015554,86.00044431355826
130,375,5,3,206,Alabama,31.394935995398733,85.4961053563236
131,365,5,3,204,Alabama,34.474724099011574,86.47283011213332
132,365,4,3,202,Alabama,33.01217552360364,85.70930737235827
133,365,4,3,202,Alabama,33.88286380931635,84.88505785413666
134,365,4,3,201,Alabama,32.141732215333086,88.01730909110141
135,365,4,3,201,Alabama,34.14185598925826,88.19311244827284
136,365,4,1,200,Alabama,33.063037656192435,87.98176668152004
137,9990,72,19,1920,Arizona,34.264151577106475,111.64164408166144
138,9473,72,19,1636,Arizona,33.022352877371894,114.1652729712864
139,9418,43,16,1636,Arizona,34.90594810473673,114.43313256961378
140,9170,42,16,1600,Arizona,36.653113987164105,112.50223817331806
141,8922,34,16,1600,Arizona,33.44174645904735,111.84631431698399
142,8922,34,16,1600,Arizona,34.49750770411305,114.28874907781383
143,8922,34,16,1600,Arizona,36.763725212281294,109.53545037156125
144,8674,34,16,1600,Arizona,33.22505326718226,113.85541610089062
145,8426,34,16,1600,Arizona,36.43982226248979,111.88484962368535
146,8178,34,16,1600,Arizona,33.277399702648204,111.75017114280946
147,8112,34,16,1600,Arizona,31.340367113519005,111.32312468202468
148,7931,34,16,1600,Arizona,31.540787366379483,110.31742440767353
149,7435,34,16,1536,Arizona,33.24370610693571,110.51055640820879
150,7435,34,16,1536,Arizona,33.12326742381486,109.89706983727109
151,7150,34,16,1458,Arizona,35.37590799596583,113.61717371881493
152,6939,34,16,1438,Arizona,32.223931683301316,110.65406784970439
153,6939,34,16,1279,Arizona,33.44797910394551,114.51632668219764
154,6932,34,16,1279,Arizona,31.585912793271888,109.45244210759665
155,6746,34,16,1279,Arizona,34.44497613615521,112.35210230621394
156,6674,34,15,1279,Arizona,36.40817750178436,112.64349712425523
157,6444,34,14,1279,Arizona,32.09463107082533,112.6164514908365
158,6244,34,12,1279,Arizona,36.45888553008273,110.8075638571114
159,6196,34,12,1279,Arizona,36.57174326247587,111.6788093882589
160,5948,34,12,1197,Arizona,33.18210434133505,110.29305473234902
161,5948,34,12,1151,Arizona,33.46830006775284,109.13243123631146
162,5948,34,12,1151,Arizona,32.921946262971865,110.87842003371397
163,5825,34,12,1120,Arizona,33.74999068640327,110.78895068371023
