,Disk (GB),Memory (GB),CPU (Core),Bandwidth (MB/s),Region,Latitude,Longitude
0,6584,74,20,1808,Alabama,33.96600639503981,85.01883560062477
1,5486,37,16,1808,Alabama,32.35681787634466,87.81112385657082
2,5031,37,16,1808,Alabama,34.929579623008394,85.285688767532
3,4600,37,16,1808,Alabama,34.23811135931138,85.30872610445284
4,4505,37,16,1805,Alabama,34.218831471805586,86.67451593988794
5,4389,37,16,1714,Alabama,31.738876290000245,86.22933890051894
6,4034,37,16,1645,Alabama,31.453391314955756,87.44166897223123
7,4023,37,16,1446,Alabama,30.61891078252728,86.92170994450585
8,3943,37,13,1446,Alabama,32.58669857613123,86.21749621746191
9,3840,37,13,1446,Alabama,32.0345424765617,85.54181642020266
10,3822,37,13,1301,Alabama,34.028453047866606,85.35030640732933
11,3815,37,13,1083,Alabama,33.97294097702332,86.05714972544177
12,3657,29,13,1083,Alabama,34.66224696328357,85.72171221011483
13,3461,29,13,1083,Alabama,30.608659313697924,87.93961745941262
14,3413,29,13,1083,Alabama,31.717315907742993,88.38279866131722
15,3292,26,13,1083,Alabama,34.90069788424647,87.83589458360686
16,3176,23,13,1083,Alabama,34.179679137588145,87.20939436185144
17,3012,20,13,1083,Alabama,34.92078841091089,86.58598499514814
18,2949,20,13,1083,Alabama,34.75643859406583,87.75715090554122
19,2926,19,13,904,Alabama,32.449309187533096,85.33025156261198
20,2781,17,13,866,Alabama,33.511145488205344,87.80426787679112
21,2743,17,13,866,Alabama,34.650096647298646,88.2818553058736
22,2635,17,13,864,Alabama,31.75165893203211,85.45974870434448
23,2599,17,13,844,Alabama,34.430016802079514,86.19353953703981
24,2560,17,13,840,Alabama,32.4027950805186,85.21385939222617
25,2377,17,13,765,Alabama,33.640730076241056,88.26886867745387
26,2204,17,13,764,Alabama,31.25230830329523,85.59352444714253
27,2194,17,13,759,Alabama,33.64146679763239,85.35350944642013
28,2194,17,13,721,Alabama,31.558972470053718,85.51669404056545
29,2144,17,13,721,Alabama,33.9677000138114,87.8009674104126
30,2124,17,13,721,Alabama,31.544754506924928,87.08325818284032
31,2122,17,13,721,Alabama,32.76175844095076,85.17774618029452
32,2011,17,13,721,Alabama,31.73818649896693,87.36602832926333
33,1828,17,13,721,Alabama,33.10853055477554,85.70849133245979
34,1828,17,13,721,Alabama,33.46162510650028,87.9791852037557
35,1828,17,13,721,Alabama,30.43241312443196,85.1367195411184
36,1734,17,13,721,Alabama,33.645932235171024,87.68747016269317
37,1646,17,13,721,Alabama,33.966045982360576,86.02796384070912
38,1646,17,13,721,Alabama,34.091025297648855,86.90261056231617
39,1646,17,13,721,Alabama,33.477114162287144,86.39463852663441
40,1646,17,13,721,Alabama,32.845736409222724,86.71115241636454
41,1646,17,13,677,Alabama,32.527217378807975,88.30397858787778
42,1646,17,13,669,Alabama,33.271514514656836,87.27015368753044
43,1646,17,13,666,Alabama,30.578935318613865,88.21493654968717
44,1588,17,13,663,Alabama,31.98272529942149,87.51634259194675
45,1463,17,13,662,Alabama,30.28407243330471,85.49904843763899
46,1463,17,13,654,Alabama,30.30217956420139,88.25581135173661
47,1463,17,13,648,Alabama,33.201112919562874,85.25016416832437
48,1463,17,13,589,Alabama,33.92311009149886,86.00505640236531
49,1463,17,13,583,Alabama,33.21311279483903,86.69805287459445
50,1463,17,13,583,Alabama,34.56958329782843,88.35911420546988
