,Disk (GB),Memory (GB),CPU (Core),Bandwidth (MB/s),Region,Latitude,Longitude
0,6584,74,20,1808,Alabama,32.260515106031285,87.63238677979258
1,5486,37,16,1808,Alabama,31.852535688525816,86.35297119673166
2,5031,37,16,1808,Alabama,33.14724316547337,85.89312195659726
3,4600,37,16,1808,Alabama,31.796798463374742,85.926365802085
4,4505,37,16,1805,Alabama,31.86308181249376,86.97037540667887
5,4389,37,16,1714,Alabama,31.050651637271315,86.74550546090796
6,4034,37,16,1645,Alabama,30.68089009174127,85.72060273465075
7,4023,37,16,1446,Alabama,31.35902834879515,87.7677870951938
8,3943,37,13,1446,Alabama,33.39429109146746,87.68912662530228
9,3840,37,13,1446,Alabama,32.346790230029484,86.80891815946386
10,3822,37,13,1301,Alabama,31.867807338964536,85.26126686907412
11,3815,37,13,1083,Alabama,31.727028069999186,85.29302793115781
12,3657,29,13,1083,Alabama,32.273312709881566,87.38838132593472
13,3461,29,13,1083,Alabama,30.580968908916603,86.06839844410675
14,3413,29,13,1083,Alabama,32.80679769133671,85.92461322346126
15,3292,26,13,1083,Alabama,34.1002599644655,86.11848251240976
16,3176,23,13,1083,Alabama,31.713325341041966,88.22576424612889
17,3012,20,13,1083,Alabama,32.956519359433344,85.58989699008424
18,2949,20,13,1083,Alabama,31.56678063254837,85.18790702868326
19,2926,19,13,904,Alabama,33.094170758482996,85.1979658723207
20,2781,17,13,866,Alabama,33.726005298687056,85.24154862207155
21,2743,17,13,866,Alabama,32.342217728451516,86.7456954974676
22,2635,17,13,864,Alabama,31.04548767915244,87.39828541545714
23,2599,17,13,844,Alabama,34.10038005192234,87.57793458147135
24,2560,17,13,840,Alabama,30.474354511262913,85.01211014730934
25,2377,17,13,765,Alabama,30.609913590079397,86.17416791938096
26,2204,17,13,764,Alabama,34.4516317667371,84.92213320847262
27,2194,17,13,759,Alabama,31.450706633964572,85.75734903174029
28,2194,17,13,721,Alabama,34.31705388630192,88.04627738339332
29,2144,17,13,721,Alabama,33.38248640747021,85.87639055696519
30,2124,17,13,721,Alabama,32.51232883413356,87.09392777943327
31,2122,17,13,721,Alabama,30.26536993115568,86.1172663837649
32,2011,17,13,721,Alabama,34.411363008698814,85.08793733210561
33,1828,17,13,721,Alabama,34.888973439574514,87.5194898139185
34,1828,17,13,721,Alabama,31.171147547644196,87.79606616904499
35,1828,17,13,721,Alabama,31.107457265791243,88.44344114008558
36,1734,17,13,721,Alabama,33.423063091503494,88.39377888201957
37,1646,17,13,721,Alabama,32.337484249834304,87.13858389258586
38,1646,17,13,721,Alabama,30.837029855047227,85.51751335165645
39,1646,17,13,721,Alabama,30.621413813735074,87.1270360700413
40,1646,17,13,721,Alabama,33.12079173737441,86.79243567327818
41,1646,17,13,677,Alabama,31.025987204847237,87.26193383599355
42,1646,17,13,669,Alabama,31.962855247722473,85.16502766948868
43,1646,17,13,666,Alabama,34.84612723244778,85.86122295305681
44,1588,17,13,663,Alabama,30.288141341662115,88.38576145569223
45,1463,17,13,662,Alabama,33.08125674573838,85.9957525790258
46,1463,17,13,654,Alabama,30.90488306124131,87.88039292789676
47,1463,17,13,648,Alabama,32.15330827891641,85.89020464903544
48,1463,17,13,589,Alabama,34.33239479534863,87.68294856710023
49,1463,17,13,583,Alabama,30.324402440669598,86.25654670123755
50,1463,17,13,583,Alabama,34.955107696371776,86.15688338591579
51,1417,17,13,576,Alabama,30.657910590606086,87.32162073507207
52,1404,17,13,541,Alabama,30.24693446461363,88.20003152098465
53,1308,17,13,541,Alabama,31.477921224644927,86.66742914706866
54,1301,17,13,511,Alabama,31.131670774079176,87.75215478578409
55,1280,17,13,465,Alabama,34.32792704482481,85.97412500264961
56,1280,17,13,437,Alabama,32.20564735620343,87.45429828486267
57,1280,17,13,436,Alabama,34.10395254833941,88.14883931824625
58,1280,17,13,431,Alabama,32.057357204154606,86.98429878800941
59,1280,17,13,427,Alabama,30.527560597452442,87.14652516961492
60,1216,17,13,426,Alabama,30.61357168034638,86.90634963059671
61,1138,17,13,420,Alabama,33.09511054074576,87.85491787650723
62,1129,17,13,419,Alabama,31.91768910260777,88.19211738454041
63,1097,17,13,418,Alabama,31.638438080651426,86.5657623082462
64,1097,17,13,416,Alabama,32.13348532990006,85.77361869389733
65,1097,17,13,415,Alabama,31.07343192292069,86.12133673162407
66,1097,17,13,414,Alabama,34.87189335258204,85.13522440969076
67,1097,17,13,401,Alabama,33.366256136355794,85.5177692882469
68,1097,17,12,383,Alabama,31.404342892541166,86.28208193379753
69,1097,17,10,366,Alabama,34.21221242606972,87.77855158813452
70,1097,17,10,362,Alabama,33.00076669080079,87.44210765004249
71,1097,17,10,358,Alabama,33.288493540799585,86.4377165484472
72,1097,17,10,358,Alabama,33.5647900389868,86.26433894916843
73,1097,17,10,358,Alabama,34.56856918692038,86.31987842090226
74,1097,17,10,358,Alabama,32.09560904811392,88.35737855982065
75,1097,17,10,358,Alabama,33.48086896331516,87.70264301081623
76,1097,17,10,358,Alabama,34.39436345859511,87.07060866353042
77,1016,17,10,358,Alabama,30.70121986269868,87.31012996547233
78,951,17,10,358,Alabama,34.36884011342775,88.09989903404701
79,944,17,10,352,Alabama,32.70987037945542,87.12833386920316
80,943,17,10,348,Alabama,34.88743326578788,86.20023288229372
81,914,17,10,342,Alabama,34.45769758718766,86.08226799060155
82,914,17,10,334,Alabama,31.056449478671585,86.05535515105659
83,914,17,10,332,Alabama,30.217157918630008,87.32185921987488
84,914,17,10,331,Alabama,32.33217683752652,86.98381656053763
85,914,17,10,331,Alabama,32.757341772880444,85.48475878501262
86,914,17,10,325,Alabama,31.17138889001576,84.92551602145902
87,914,17,10,320,Alabama,30.761709342794177,88.0284254064383
88,914,17,10,318,Alabama,31.727637540319762,88.43249784238901
89,914,14,10,311,Alabama,32.424970192281705,87.54221817858182
90,769,14,10,293,Alabama,32.9711103709361,85.9473614876622
91,731,14,10,285,Alabama,33.520569152663015,84.93521980992736
92,731,14,10,282,Alabama,33.74362631112828,86.55991764366011
93,731,14,10,279,Alabama,33.88154787561392,86.51565571899614
94,731,14,10,279,Alabama,34.52118236073675,87.37637618058909
95,731,14,10,276,Alabama,34.72356651571244,87.79919226672429
96,731,13,10,276,Alabama,30.80662132109293,85.48991219512754
97,731,11,10,274,Alabama,31.345540200129815,87.41199243376444
98,731,11,10,271,Alabama,32.811142871090404,85.24749578816396
99,731,8,10,270,Alabama,34.68895836972754,86.90217957772406
